timestamp,uuid,screenOn,timezone,utc_date_time,local_date_time,local_date,local_time,local_hour,local_minute
1484733777,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:02:57,2017-01-18 10:02:57,2017-01-18,10:02:57,10,2
1484733837,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:03:57,2017-01-18 10:03:57,2017-01-18,10:03:57,10,3
1484733988,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:06:28,2017-01-18 10:06:28,2017-01-18,10:06:28,10,6
1484734217,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:10:17,2017-01-18 10:10:17,2017-01-18,10:10:17,10,10
1484734397,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:13:17,2017-01-18 10:13:17,2017-01-18,10:13:17,10,13
1484734648,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:17:28,2017-01-18 10:17:28,2017-01-18,10:17:28,10,17
1484734817,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:20:17,2017-01-18 10:20:17,2017-01-18,10:20:17,10,20
1484734997,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 10:23:17,2017-01-18 10:23:17,2017-01-18,10:23:17,10,23
1484755365,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:02:45,2017-01-18 16:02:45,2017-01-18,16:02:45,16,2
1484755632,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:07:12,2017-01-18 16:07:12,2017-01-18,16:07:12,16,7
1484756107,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:15:07,2017-01-18 16:15:07,2017-01-18,16:15:07,16,15
1484756185,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:16:25,2017-01-18 16:16:25,2017-01-18,16:16:25,16,16
1484757288,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:34:48,2017-01-18 16:34:48,2017-01-18,16:34:48,16,34
1484757740,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 16:42:20,2017-01-18 16:42:20,2017-01-18,16:42:20,16,42
1484760405,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 17:26:45,2017-01-18 17:26:45,2017-01-18,17:26:45,17,26
1484761806,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 17:50:06,2017-01-18 17:50:06,2017-01-18,17:50:06,17,50
1484765591,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 18:53:11,2017-01-18 18:53:11,2017-01-18,18:53:11,18,53
1484775221,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 21:33:41,2017-01-18 21:33:41,2017-01-18,21:33:41,21,33
1484776916,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 22:01:56,2017-01-18 22:01:56,2017-01-18,22:01:56,22,1
1484780130,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 22:55:30,2017-01-18 22:55:30,2017-01-18,22:55:30,22,55
1484782245,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 23:30:45,2017-01-18 23:30:45,2017-01-18,23:30:45,23,30
1484784115,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-19 00:01:55,2017-01-19 00:01:55,2017-01-19,00:01:55,0,1
